"pincode","city","canton","canton_code","country","country_code","longitude","latitude","bfsnr"
5610,"Wohlen AG","Aargau","AG","Schweiz","CH",8.278694,47.350491,4082
5611,"Anglikon","Aargau","AG","Schweiz","CH",8.26404,47.36376,4082
5612,"Villmergen","Aargau","AG","Schweiz","CH",8.24107343556263,47.351027391042,4080
5613,"Hilfikon","Aargau","AG","Schweiz","CH",8.244584,47.330412,4080
5614,"Sarmenstorf","Aargau","AG","Schweiz","CH",8.252722259438,47.3113503634871,4076
5615,"Fahrwangen","Aargau","AG","Schweiz","CH",8.24310980922049,47.2897219195909,4196
5616,"Meisterschwanden","Aargau","AG","Schweiz","CH",8.22753633941716,47.2969444740433,4202
5617,"Tennwil","Aargau","AG","Schweiz","CH",8.221877,47.306311,4202
5618,"Bettwil","Aargau","AG","Schweiz","CH",8.27474919851472,47.2880577578048,4227
5619,"Büttikon AG","Aargau","AG","Schweiz","CH",8.273555,47.314574,4064
5619,"Uezwil","Aargau","AG","Schweiz","CH",8.273555,47.314574,4064
5620,"Bremgarten AG","Aargau","AG","Schweiz","CH",8.329926,47.357624,4063
5621,"Zufikon","Aargau","AG","Schweiz","CH",8.355828,47.344121,4083
5622,"Waltenschwil","Aargau","AG","Schweiz","CH",8.29894824422199,47.3340961602779,4240
5623,"Boswil","Aargau","AG","Schweiz","CH",8.30863272709889,47.2976028371997,4228
5624,"Waldhäusern AG","Aargau","AG","Schweiz","CH",8.32258665761432,47.3200563419551,4229
5624,"Bünzen","Aargau","AG","Schweiz","CH",8.32258665761432,47.3200563419551,4229
5625,"Kallern","Aargau","AG","Schweiz","CH",8.289836,47.309045,4233
5626,"Hermetschwil-Staffeln","Aargau","AG","Schweiz","CH",8.339255,47.329823,4063
5627,"Besenbüren","Aargau","AG","Schweiz","CH",8.342063,47.308417,4226
5628,"Aristau","Aargau","AG","Schweiz","CH",8.364863,47.286906,4222
5630,"Muri AG","Aargau","AG","Schweiz","CH",8.331523,47.270836,4236
5632,"Buttwil","Aargau","AG","Schweiz","CH",8.311205,47.267594,4230
5634,"Merenschwand","Aargau","AG","Schweiz","CH",8.38394577442984,47.262747731486,4234
5636,"Benzenschwil","Aargau","AG","Schweiz","CH",8.35749,47.245797,4234
5637,"Geltwil","Aargau","AG","Schweiz","CH",8.331399,47.225732,4232
5637,"Beinwil (Freiamt)","Aargau","AG","Schweiz","CH",8.331399,47.225732,4232
5642,"Mühlau","Aargau","AG","Schweiz","CH",8.388037,47.233177,4235
5643,"Alikon","Aargau","AG","Schweiz","CH",8.37313965493048,47.1860788188136,4239
5643,"Meienberg","Aargau","AG","Schweiz","CH",8.37313965493048,47.1860788188136,4239
5643,"Sins","Aargau","AG","Schweiz","CH",8.37313965493048,47.1860788188136,4239
5644,"Auw","Aargau","AG","Schweiz","CH",8.36252508933166,47.2148056785353,4223
5645,"Aettenschwil","Aargau","AG","Schweiz","CH",8.363940542,47.183296,4239
5645,"Fenkrieden","Aargau","AG","Schweiz","CH",8.363940542,47.183296,4239
5646,"Abtwil AG","Aargau","AG","Schweiz","CH",8.351345,47.169938,4221
5647,"Oberrüti","Aargau","AG","Schweiz","CH",8.397739,47.16682,4237
5702,"Niederlenz","Aargau","AG","Schweiz","CH",8.17034846354008,47.4035672260912,4204
5703,"Seon","Aargau","AG","Schweiz","CH",8.15761931535838,47.3482039758818,4209
5704,"Egliswil","Aargau","AG","Schweiz","CH",8.189607,47.351559,4195
5705,"Hallwil","Aargau","AG","Schweiz","CH",8.178663,47.326409,4197
5706,"Boniswil","Aargau","AG","Schweiz","CH",8.19077824399571,47.3120404957777,4192
5707,"Seengen","Aargau","AG","Schweiz","CH",8.2088575350247,47.3292633712408,4208
5708,"Birrwil","Aargau","AG","Schweiz","CH",8.196255,47.290524,4132
5712,"Beinwil am See","Aargau","AG","Schweiz","CH",8.20525909985002,47.2650815539056,4131
5722,"Gränichen","Aargau","AG","Schweiz","CH",8.1067712797892,47.3515405161697,4006
5723,"Teufenthal AG","Aargau","AG","Schweiz","CH",8.096723,47.323587,4145
5724,"Dürrenäsch","Aargau","AG","Schweiz","CH",8.154393,47.323379,4134
5725,"Leutwil","Aargau","AG","Schweiz","CH",8.170736,47.305936,4138
5726,"Unterkulm","Aargau","AG","Schweiz","CH",8.10355567867719,47.3188722674222,4146
5727,"Oberkulm","Aargau","AG","Schweiz","CH",8.12600324712155,47.2983945237559,4140
